domain,AWeber,Acuity Ads,Acxiom,AdGear,AdMarvel,AdRoll,AdScale,Adap.tv,Adblade,AddThis,Adform,Adloox,Admedo,Admeta,Admixer,Adobe Audience Manager,Advertise.com,Advertising.com,Aggregate Knowledge,Amazon Associates,AppNexus,Audience Science,BidSwitch,BlueCava,BlueKai,BrightRoll,Chameleon,Chango,ChartBeat,Clearstream.TV,Connexity,Content.ad,Conversant,Convertro,Crimtan,Criteo,DataXu,Datalogix,Delta Projects,Digilant,Dotomi,DoubleClick,DoubleClick Ad Exchange-Buyer,DoubleClick Ad Exchange-Seller,DoubleClick Spotlight,Drawbridge,Dstillery,EQ Advertising,Earnify,Eyeota,Eyeview,Facebook Custom Audience,GetIntent,Google AdWords Conversion,Google Adsense,Google Dynamic Remarketing,Google Publisher Tags,Google Syndication,Improve Digital,Index Exchange (Formerly Casale Media),Infectious Media,InfoLinks,Innovid,Intent IQ,Internet BillBoard,Kixer,Krux Digital,Lanista Concepts,LiveRamp,Lotame,Magnetic,MarketGid,Media Innovation Group,Media.net,MediaMath,Nativo,NetSeer,Netmining,Newsmax,Nexage,OpenX,OwnerIQ,Pixalate,PowerLinks,Propeller Ads,PubMatic,PulsePoint,Q1Media,Quantcast,RevContent,Rocket Fuel,Rubicon,SMART AdServer,ScoreCard Research Beacon,SecuredVisit,Sekindo,Semasio,ShareThis,ShareThrough,Simpli.fi,SiteScout,SkimLinks,Smaato,SmartClip,Sonobi,SpotXchange,Spoutable,StickyAds,Switch Concepts,Taboola,Tapad,Teads,TradeDesk,Tremor Media,Tribal Fusion,TripleLift,TubeMogul,Turn Inc.,Twitter Advertising,Tynt,Undertone,Unruly Media,VIVALU,Veruta,Videology,VigLink,Visible Measures,Yahoo Ad Exchange,Yahoo Ad Manager Plus,Yashi,Yieldlab,YllixMedia,[x+1],adingo,adsnative,eXelate,eyeReturn Marketing,gumgum,i-Behavior,myThings,sovrn (formerly Lijit Networks)
krbcnews.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
mrnewswatch.com,Added,Never,Added,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Added,Added,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Removed,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never
nationalreport.net,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Kept,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Never,Never,Never,Never,Kept,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never
news4ktla.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Kept,Never,Kept,Never,Kept,Kept,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Kept,Never,Never,Never,Kept,Kept,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Kept
newsbiscuit.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Never,Never,Kept,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
newsexaminer.net,Never,Kept,Never,Kept,Never,Never,Kept,Never,Never,Kept,Kept,Never,Never,Kept,Never,Kept,Never,Kept,Kept,Never,Kept,Never,Kept,Never,Kept,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Kept,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Kept,Never,Never,Kept,Kept,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Kept,Never,Added,Kept,Never,Kept,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Kept,Kept,Never,Never,Never,Never,Kept,Kept,Kept,Never,Kept,Kept,Added,Never,Never,Kept,Added,Never,Kept,Kept,Kept,Never,Kept,Kept,Kept,Kept,Never,Kept,Kept,Never,Never,Kept,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Added,Never,Never,Kept,Never,Kept,Never,Never,Kept,Never,Kept
newslo.com,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Kept,Removed,Never,Removed,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Removed,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never
notallowedto.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Kept,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
now8news.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Kept,Never,Kept,Never,Kept,Kept,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Kept,Never,Never,Never,Kept,Kept,Never,Never,Never,Never,Kept,Added,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never
persecutes.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Kept,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Kept,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never
politicops.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
rilenews.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
satiratribune.com,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Added,Never,Removed,Never,Removed,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Never,Removed,Never,Never,Never,Never,Removed,Never,Never,Never,Removed,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Removed,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never
smhwtfnews.com,Added,Never,Added,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Added,Added,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Removed,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Added,Never,Never,Never,Never,Never
straightstoned.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Kept,Never,Kept,Never,Kept,Never,Kept,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Removed,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Removed,Never,Never,Removed,Never,Kept,Never,Never,Never,Never,Never,Added,Kept,Never,Kept,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Kept,Never,Never,Never,Kept,Kept,Never,Added,Never,Never,Kept,Never,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Kept,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Kept,Never,Never,Never,Never,Never
stuppid.com,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Kept,Kept,Never,Never,Never,Kept,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
